Team,Year,Wikipedia_Team_Name,URL,1,13,14,19,2,20,2013 Pittsburgh Steelers draft|1,2013 Pittsburgh Steelers draft|2,2013 Pittsburgh Steelers draft|3,2013 Pittsburgh Steelers draft|4,2013 Pittsburgh Steelers draft|5,2013 Pittsburgh Steelers draft|6,2013 Pittsburgh Steelers draft|7,2013 Pittsburgh Steelers draft|Round,2020 Kansas City Chiefs Coaching staff changes|Old coach,2020 Kansas City Chiefs Coaching staff changes|Rod Wilson,2020 Kansas City Chiefs Coaching staff changes|Vacant,2021 Kansas City Chiefs Coaching staff changes|Britt Reid[20],2021 Kansas City Chiefs Coaching staff changes|Connor Embree,2021 Kansas City Chiefs Coaching staff changes|David Girardi,2021 Kansas City Chiefs Coaching staff changes|Deland McCullough[19],2021 Kansas City Chiefs Coaching staff changes|Greg Lewis,2021 Kansas City Chiefs Coaching staff changes|Joe Bleymaier,2021 Kansas City Chiefs Coaching staff changes|Old coach,2022 Kansas City Chiefs Coaching staff changes|Brendan Daly,2022 Kansas City Chiefs Coaching staff changes|Donald D'Alesio,2022 Kansas City Chiefs Coaching staff changes|Matt House,2022 Kansas City Chiefs Coaching staff changes|Mike Kafka,2022 Kansas City Chiefs Coaching staff changes|N/A†,2022 Kansas City Chiefs Coaching staff changes|Old coach,2022 Kansas City Chiefs Coaching staff changes|Sam Madison,2022 Los Angeles Chargers Staff Changes|Coach,2022 Los Angeles Chargers Staff Changes|Dan Shamash,2022 Los Angeles Chargers Staff Changes|Derius Swinton,2022 Los Angeles Chargers Staff Changes|Frank Smith,2022 Los Angeles Chargers Staff Changes|Mayur Chaudhari,2022 Los Angeles Chargers Staff Changes|N/A,2025 Cleveland Browns Free Agents|C,2025 Cleveland Browns Free Agents|CB,2025 Cleveland Browns Free Agents|DE,2025 Cleveland Browns Free Agents|DT,2025 Cleveland Browns Free Agents|G,2025 Cleveland Browns Free Agents|LB,2025 Cleveland Browns Free Agents|LS,2025 Cleveland Browns Free Agents|OT,2025 Cleveland Browns Free Agents|Pos.,2025 Cleveland Browns Free Agents|QB,2025 Cleveland Browns Free Agents|RB,2025 Cleveland Browns Free Agents|S,2025 Cleveland Browns Free Agents|TE,2025 Cleveland Browns Free Agents|WR,21,22,24,240[b],246[b],248[b],26,27,28,3,30,32,35,38,4,42,5,50,52,56,63,64,68,7,71,73,78,79,84,86,90,91,98,Al Harris,Alan Williams,Anthony Weaver[21],April 14,April 18,April 9,Assistant defensive line,Assistant offensive coach,Assistant quarterback coach,Assistant running backs|Justin Hinds,August 28,August 9,Bills,Bob Sutton,Bobby Engram[15],Britt Reid,C,CB,Cardinals,Category,Chris Beatty(Wide receivers coach)|Andrew Janocko,Chris Beatty(Wide receivers coach)|Omar Young,Chris Beatty(Wide receivers coach)|Phil Snow,Chris Hewitt[8],Cliff Stein,Coach,Connor Embree,Cowboys,Craig Ver Steeg,D'Anton Lynn[20],DE,DL,DT,Damon Mitchell,Date,David Blackburn[24],David Girardi,Defensive backs coach,Defensive line coach,Dennard Wilson[19],Derrick Ansley,Dick Cass[17],Don Martindale[14],Doug Mallory,Draft order|Round,Drew Wilkins[16],Emmitt Thomas,Eric Bieniemy,FB,Final score,Forced fumbles,G,Greg Lewis,Greg Roman[15],HOF,ILB,Interceptions,Isaac Shewmaker,Jake Rudock,James Urban,January 15,January 7,Jay Valai,Joe Bleymaier,Joe D'Alessandris[25],Joe Hortiz[16],Joe Lombardi,Joique Bell,K,Keith Williams[23],Kerry Hyder,Kickoff Return Yards,Kickoff return yards,LB,LG,LS,LT,Luke Getsy,March 10,March 12,March 13,March 14,March 15,March 16,March 21,March 9,Marco Zucconi,Mark DeLeone,Matt Nagy,Michael Wilhoite,Mike Devlin[22],Mike Macdonald[17],Mike Smith,N/A,NFC East|(2)Philadelphia Eagles,NFC East|(6)Washington Commanders,NFC East|Dallas Cowboys,NFC East|New York Giants,NFC East|viewtalkedit,NT,Nevin Lawson,Notable Departures|CB,Notable Departures|DE,Notable Departures|DT,Notable Departures|OT,Notable Departures|P,Notable Departures|RB,Notable Departures|SS,Notable Departures|TE,Notable Departures|WR,Number,OG,OLB,OT,Offensive coordinator,Old coach,Outside linebackers coach,P,POS|C,POS|FB,POS|LG,POS|LT,POS|QB,POS|RB,POS|RG,POS|RT,POS|TE,POS|WR,Panthers,Passing Touchdowns,Passing Yards,Passing touchdowns,Passing yards,Points,Pos.,Punt Return Yards,Punt return yards,QB,Quarter,Quarterbacks coach,RB,RG,RT,Rank,Receiving Touchdowns,Receiving Yards,Receiving touchdowns,Receiving yards,Receptions,Renaldo Hill,Richard Angulo,Rob Leonard[20],Rob Ryan[16],Robbie Picazo&Ryan Griffin(Assistant quarterbacks/wide receivers)|Luke Steckel,Robbie Picazo&Ryan Griffin(Assistant quarterbacks/wide receivers)|Tim Zetts,Ron Medlin[18],Round,Running backs coach,Rushing Touchdowns,Rushing Yards,Rushing touchdowns,Rushing yards,Ryan Osborn[17],S,Sacks,Sean Magee,Senior director of college scouting,Shane Day,Steve Saunders,T,TE,Tackles,Tee Martin,Tom Donatell,Tyke Tolbert,WR,Week,Zach Orr[18]
Detroit Lions,2020,Detroit Lions,https://en.wikipedia.org/wiki/2020_Detroit_Lions_season,August 13,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2021,Detroit Lions,https://en.wikipedia.org/wiki/2021_Detroit_Lions_season,August 13,,,,August 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2022,Detroit Lions,https://en.wikipedia.org/wiki/2022_Detroit_Lions_season,August 12,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2025,Detroit Lions,https://en.wikipedia.org/wiki/2025_Detroit_Lions_season,August 8 [ a ],,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2024,Detroit Lions,https://en.wikipedia.org/wiki/2024_Detroit_Lions_season,August 8,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2023,Detroit Lions,https://en.wikipedia.org/wiki/2023_Detroit_Lions_season,August 11,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2011,Green Bay Packers,https://en.wikipedia.org/wiki/2011_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Wells,John Kuhn,T. J. Lang,Marshall Newhouse,Aaron Rodgers,Ryan Grant,Josh Sitton,Bryan Bulaga,Jermichael Finley,Greg Jennings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay Packers,2012,Green Bay Packers,https://en.wikipedia.org/wiki/2012_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casey Hayward,,,,,,,,,,,,,,,Randall Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,Aaron Rodgers,,,Mason Crosby,,Randall Cobb,,,,,,,,,James Jones,Randall Cobb,,,Randall Cobb,,,,,,,,,,"Aaron Rodgers , DuJuan Harris and Ryan Grant",Alex Green,,,,,Clay Matthews,,,,,,,A. J. Hawk and Morgan Burnett,,,,,,
Green Bay Packers,2013,Green Bay Packers,https://en.wikipedia.org/wiki/2013_Green_Bay_Packers_season,August 9,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2014,Green Bay Packers,https://en.wikipedia.org/wiki/2014_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garth Gerhart,Ryan White,,,,,,,,,,,,,Luther Robinson,,,,,,,,,,,,,,,,,,Ina Liaina,,,Jordan McCray,,,,Joe Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Tiller,Adrian Hubbard,Jeremy Vujnovich,,,,,,,,,,,,,,,,,,,,,,,,Chase Rettig,,,LaDarius Perkins,,,,,,,,,,,,,,,,,,,,,,,Tanner Miller,,,,,,,Justin Perillo,,,,,Myles White,,
Green Bay Packers,2015,Green Bay Packers,https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Linsley,John Kuhn,Josh Sitton,David Bakhtiari,Aaron Rodgers,Eddie Lacy,T. J. Lang,Bryan Bulaga,Richard Rodgers,Davante Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay Packers,2016,Green Bay Packers,https://en.wikipedia.org/wiki/2016_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. C. Tretter Corey Linsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Ripkowski,,,,,,,,,,,,,,,,,,,,,,,,,,Lane Taylor,,David Bakhtiari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Name,,,Aaron Rodgers,,,Eddie Lacy Ty Montgomery Don Jackson James Starks,T. J. Lang Don Barclay Jason Spriggs,Bryan Bulaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Cook Richard Rodgers Justin Perillo,,,,,Davante Adams Jeff Janis,,
Green Bay Packers,2019,Green Bay Packers,https://en.wikipedia.org/wiki/2019_Green_Bay_Packers_season,August 8,,,,August 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 22,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2017,Green Bay Packers,https://en.wikipedia.org/wiki/2017_Green_Bay_Packers_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Linsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Ripkowski,,,,,,,,,,,,,,,,,,,,,,,,,,Lane Taylor Justin McCray Lucas Patrick,,David Bakhtiari Kyle Murphy Lane Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brett Hundley Aaron Rodgers,,,Jamaal Williams Ty Montgomery Aaron Jones,Jahri Evans Justin McCray Lucas Patrick,Bryan Bulaga Justin McCray Jason Spriggs Kyle Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lance Kendricks Martellus Bennett Richard Rodgers,,,,,Davante Adams Geronimo Allison,,
Green Bay Packers,2018,Green Bay Packers,https://en.wikipedia.org/wiki/2018_Green_Bay_Packers_season,August 9,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2020,Green Bay Packers,https://en.wikipedia.org/wiki/2020_Green_Bay_Packers_season,August 15,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2021,Green Bay Packers,https://en.wikipedia.org/wiki/2021_Green_Bay_Packers_season,August 14,,,,August 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2023,Green Bay Packers,https://en.wikipedia.org/wiki/2023_Green_Bay_Packers_season,August 11,,,,August 19 [ A ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2022,Green Bay Packers,https://en.wikipedia.org/wiki/2022_Green_Bay_Packers_season,August 12,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2024,Green Bay Packers,https://en.wikipedia.org/wiki/2024_Green_Bay_Packers_season,August 10,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2011,Houston Texans,https://en.wikipedia.org/wiki/2011_Houston_Texans_season,August 15,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,September 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2012,Houston Texans,https://en.wikipedia.org/wiki/2012_Houston_Texans_season,August 11,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,August 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Green Bay Packers,2025,Green Bay Packers,https://en.wikipedia.org/wiki/2025_Green_Bay_Packers_season,August 9,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2013,Houston Texans,https://en.wikipedia.org/wiki/2013_Houston_Texans_season,August 9,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2014,Houston Texans,https://en.wikipedia.org/wiki/2014_Houston_Texans_season,August 9,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2018,Houston Texans,https://en.wikipedia.org/wiki/2018_Houston_Texans_season,,DeAndre Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jadeveon Clowney,,,,,,Deshaun Watson,,,,,,,,,,,J. J. Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Texans,2015,Houston Texans,https://en.wikipedia.org/wiki/2015_Houston_Texans_season,August 15,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 30,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2016,Houston Texans,https://en.wikipedia.org/wiki/2016_Houston_Texans_season,August 14,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 28,,,,,September 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2017,Houston Texans,https://en.wikipedia.org/wiki/2017_Houston_Texans_season,August 9,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,August 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2019,Houston Texans,https://en.wikipedia.org/wiki/2019_Houston_Texans_season,August 8,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2020,Houston Texans,https://en.wikipedia.org/wiki/2020_Houston_Texans_season,August 14,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2021,Houston Texans,https://en.wikipedia.org/wiki/2021_Houston_Texans_season,August 14,,,,August 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Houston Texans,2022,Houston Texans,https://en.wikipedia.org/wiki/2022_Houston_Texans_season,August 13,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
